vacation 假期
vaccine 疫苗
vacuum 真空
valley 山谷
value 價值
valve 閥
van 貨車
vanilla 雲呢拿
vanish 消失
vapor 蒸氣
variable 變數
variation 變化
variety 種類
various 不同的
various 唔同
vary 變化
vase 瓶
vast 廣闊
vector 向量
vegetable 蔬菜
vehicle 車輛
vein 血管
vein 葉脈
velocity 速率
vent 出口
ventilate 通風
verb 動詞
verify 驗証
version 版本
vertical 垂直的
very 非常
very 很
very 都幾
vessel 容器
vessel 船
veteran 退伍軍人
victim 被害者
victory 勝利
video 影像
view 景色
village 鄉村
villain 壞人
vine 藤蔓
violate 違反
violence 暴力
violent 猛烈的
violet 紫羅蘭
virus 病毒
visa 簽証
visible 看得見的
vision 視力
visit 拜訪
visit 訪問
visitor 訪客
visual 視覺的
vital 生命的
vitamin 維他命
vocabulary 詞彙
voice 聲音
void 空的
volcano 火山
voltage 電壓
volume 體積
volume 卷
volunteer 志願者
vote 投票
voyage 航海
