fable 寓言
fabric 紡織品
face 面孔
face 臉
facilitate 幫助
facilities 設備
factor 因素
factory 工廠
fade 變淡
fail 失敗
fail 肥佬
faint 昏倒
faint 暈左
fair 公平
fair 博覽會
fairly 相當地
faith 信念
faithfully 忠實
fake 假既
fall 掉下
fall 落入
false 假
false 虛偽
fame 名聲
familiar 熟悉的
family 家庭
famine 飢荒
famous 出名的
famous 有名
famous 著名
fan 扇子
fantastic 奇妙的
fantasy 幻想
far 遠
far 遙遠
fare 費用
farm 農田
farmer 農民
farming 農作
fast 快
fast 快速的
fasten 綁住
fat 脂肪
fatal 致命
fate 命運
father 父親
father 老豆
father 老竇
fault 缺點
fault 過失
favour 偏愛
favour 鍾意
fear 恐懼
fear 好驚
feast 盛宴
february 二月
federal 聯邦的
fee 費
feed 喂養
feed 飼養
feel 感覺
feeling 心情
feelings 情感
female 女
female 雌
female 雌性
fence 欄干
ferment 發酵
fertilise 施肥
fertilizer 肥料
festival 節慶
fetch 取
fetch 拿
fever 發熱
few 少許
few 少量
fiber 纖維
fiction 小說
field 田野
field 場
field 領域
fierce 兇猛
fight 打仗
fight 打交
fight 打架
figure 人物
figure 圖形
figure 數字
file 文件
file 檔案
fill 充滿
fill 填滿
film 電影
film 菲林
filter 過濾器
final 最後
finally 終於
finance 財政
financial 財政的
find 尋找
find 搵
fine 好
fine 美好
fine 細
fine 罰錢
finger 手指
finish 做完
finish 搞掂
fire 火
fire 火災
fire 炒
fire 炒魷魚
firm 堅固
firm 商行
first 第一
fish 魚
fisherman 漁夫
fit 適合
five 五
fix 固定
fix 修理
fixed 搞掂
flame 火焰
flash 閃光
flat 扁平
flavor 味道
fleet 艦隊
flesh 血肉
flex 彎曲
flight 飛行
float 漂浮
flock 群
flood 洪水
floor 地板
floor 樓
flower 花
fluid 流體
flush 沖洗
fly 飛翔
fly 蒼蠅
focus 焦點
fold 折疊
folk 民間
follow 跟從
food 食物
fool 傻子
foolish 愚蠢
foot 腳
football 足球
footstep 腳步
for 為
for 為了
force 力量
forehead 額頭
foreign 外國的
foreign 鬼佬
forest 森林
forget 忘記
forget 唔記得
forgive 原諒
form 形狀
form 格式
formal 正式
former 以前的
formula 公式
fort 堡壘
fortunate 幸運
fortune 命運
forty 四十
forward 向前
fossil 化石
foster 養育
found 建立
foundation 基礎
four 四
fowl 家禽
fox 狐狸
frame 框架
frank 坦白
free 自由
free 得閒
freeze 結冰
frequency 頻率
frequent 經常的
fresh 新鮮
friday 星期五
friend 朋友
friendly 友好的
friends 朋友們
frighten 使驚嚇
frog 青蛙
from 從
front 前面
frontier 邊境
frost 霜
frown 皺眉
fruit 水果
fruit 生果
fuel 燃料
fulfil 實踐
full 滿
fun 樂趣
function 功能
fund 資金
funeral 葬禮
fungi 真菌
funny 有趣
fur 皮毛
furnace 熔爐
furniture 傢俱
further 更進一步
future 未來
future 第日
